text,level
"Ticis Rīgā, zaķis uzmeklē sēklu tirgotavu",viegls
"Ak skābu kāpostu, – pavisam saldā balsī iesaucās tirgotājs",vidējs
Lauris iziet cauri nelielam krūmājam,vidējs
Andra un Mārītes māmiņai bija lādīte ar saktām,vidējs
"Divtūkstoš gadus pirms Kristus dzimšanas viļņu izskalotos dzintara gabalus rotkaļi izveidoja saules rata formā, jo senprūši tajos laikos pielūdza sauli",sarežģīts
"„Ko nu, ko nu! Ne jums abām mirdzuma, ne daiļuma",viegls
Atbildēt mazajiem lasītājiem ir goda lieta,vidējs
To autore saņēma lielus honorārus un nekurnēdama maksāja nodokļus,sarežģīts
Viņai allaž paticis klīst pa kapiņiem,viegls
"Lindgrēne apkopo tēva un mātes mīlestības vēstules, ko viņi bija saudzīgi glabājuši, un uzraksta stāstu par vecākiem",sarežģīts
"Ir rakstnieki, kuru uzrakstīto var lasīt, neaizķeroties ne aiz viena vārda, visi pazīstami un zināmi",sarežģīts
"Vārdu un piemēru skaitu var brīvi papildināt, bet pamatjautājums cits",vidējs
"Neviens nezina, kāda pasaule būs pēc pieciem gadiem, jo izmaiņas, kuras kādreiz notika 1000 gadu laikā, tagad norisinās pusgadā",sarežģīts
"Nu, kā tu to izskaidro? – vaicā tēvs",viegls
Lelde nesaka neko,viegls
"Tēvs gaida tikai vienu: pakļaušanos, nožēlu, atvainošanos",vidējs
"Un tik ilgi, kamēr manos pienākumos ietilps šī atbildība, es katrreiz izvēlēšos arī rīcības metodes",sarežģīts
Brūnais lācis pēc savas gaitas ir pēdminis,vidējs
Te sniega un zaru mājoklī janvārī vai februārī piedzimst mazie lācēni,sarežģīts
Kas var pārspēt kaķi peļu ķeršanā? Vai zini? Pavisam mazs zvēriņš – pats sīkākais plēsējs pasaulē – zebiekste,sarežģīts
Zebiekstes galvenā barība ir peles un strupastes,vidējs
"Meitenes mūs apsveica Valentīna dienā, un mums vajadzēja to atlīdzināt",sarežģīts
Kādas tās izskatās? – es nobijies prasīju,viegls
"No rīta septiņos uzcirtušies mēs, zēni, iegājām klasē",vidējs
Izsaki viņai mūsu vārdā pateicību,viegls
"Uzskatu, ka bērniem bankas norēķinu karte dod zināmu neatkarības sajūtu",sarežģīts
"Mikus Mende, kurš šogad mācās Murjāņos un dzīvo dienesta viesnīcā A",sarežģīts
Ir karsta 1859,viegls
Bija nepieciešams izrakt un aizvest projām miljoniem kubikmetru zemes,sarežģīts
Diemžēl Napoleona zinātnieki savos aprēķinos pieļāva nopietnu kļūdu,sarežģīts
"Lesepss saprata, ka franču būvētam jūrasceļam uz Austrumiem būs lemts iet cauri lielās politikas mīnu laukam",sarežģīts
"Protams, britu uzņēmēji saprata, kādas būtu priekšrocības par 5000 kilometru īsākam jūrasceļam uz Indiju",sarežģīts
"Lesepsam lielu atbalstu sniedza arī māsīca Eiženija, kas bija precējusies ar imperatoru Napoleonu III, kurš tobrīd valdīja Francijā",sarežģīts
Francijas imperatore Eiženija oficiāli pasludināja kanālu par atvērtu,sarežģīts
Sliktā ekonomiskā stāvokļa dēļ drīz vien visi trumpji bija Lielbritānijas rokās,sarežģīts
"Pulksteņa man vairs nav, un vakara laiku es tagad mēdzu nosacīt pēc pretējās mājas diviem logiem",sarežģīts
Tā bija mana māte,viegls
"Ja varētu paļauties uz sevi, tad jādomā, ka rudenī man jau būtu pašai sava nauda",sarežģīts
"Gurda un nogurusi no pārēšanās, lēni vilku kājas pa kāpnēm",vidējs
"Pēc trijām vai sešām stundām izdzirdēju, ka aiz durvīm sevi piesaka kāds atnācējs",sarežģīts
"Otrkārt, var aizņemties no daudzajiem paziņām pa rublēnam, un man no pieredzes zināms, ka tik mazītiņu summiņu neviens negaida atdodam",sarežģīts
