Item,Frequency
"un",2971094
"ir",1644648
"ar",1213546
"ka",990078
"par",964477
"no",849234
"arī",742509
"kas",591914
"kā",577974
"uz",570385
"bija",429968
"bet",419364
"to",400869
"vai",380831
"gada",344354
"nav",323362
"Latvijas",293321
"līdz",277843
"tā",271244
"gan",266320
"pēc",265472
"lai",262527
"jau",232475
"tas",228993
"var",223457
"gadā",209566
"tikai",205398
"tika",192390
"jo",191868
"ko",187050
"pie",175257
"laikā",175117
"tiek",165846
"viņš",164595
"valsts",164591
"viņa",158935
"kad",157027
"vēl",152259
"būs",150924
"ja",140721
"ne",137302
"savu",137240
"tad",130286
"ļoti",129732
"es",127954
"tās",123474
"šo",123294
"kur",115187
"vairāk",110016
"Par",109089
"taču",108825
"Rīgas",108264
"pret",103145
"gadu",101592
"būtu",98892
"Latvijā",95834
"tam",95298
"pa",93495
"mēs",93243
"Ja",92294
"Tas",91959
"pat",90868
"varētu",90583
"viņu",89632
"darba",89482
"nekā",88430
"daudz",88069
"Eiropas",87845
"man",85421
"Un",84467
"kurš",83796
"Es",81594
"Kā",81401
"tik",79612
"Pēc",79301
"Valsts",78308
"kuru",78201
"Tā",77851
"visu",76610
"būt",76410
"pirms",74445
"eiro",74290
"kaut",74124
"kurā",72206
"šī",71604
"bez",70061
"tomēr",69290
"Lai",69105
"viens",68333
"trīs",68289
"šajā",67795
"kuri",67349
"mūsu",67198
"kopā",66680
"Viņš",66425
"Rīgā",65704
"Savukārt",65464
"mums",64639
"tiks",64115
"vien",63449
"kura",63176
"kuras",63137
"iespējams",62880
"Bet",62371
"starp",60888
"piemēram",59711
"vienu",59392
"1",59232
"laiku",58074
"Ministru",57812
"tāpēc",57445
"vietu",57425
"tie",56841
"viņi",56578
"gadus",56488
"novada",55815
"viņam",55698
"2",55605
"vietā",55494
"laika",53925
"pilsētas",52959
"nebija",52792
"tagad",52573
"tieši",52047
"Krievijas",51690
"ASV",51524
"No",51457
"darbu",51255
"dēļ",51178
"cilvēki",50926
"likuma",50466
"cilvēku",50397
"viena",50240
"tur",49604
"daļu",49200
"šīs",48853
"citu",48592
"kādu",47567
"pasaules",47551
"Arī",47541
"gadiem",47508
"savas",47018
"pirmo",47010
"savā",46876
"panta",46414
"Viņa",46265
"labi",46250
"Tāpat",45816
"gadījumā",45575
"Taču",45048
"tiem",44782
"tajā",44639
"vairs",44633
"izglītības",43941
"kāds",43645
"Tomēr",43635
"SIA",43422
"3",42424
"Vai",42159
"ministrijas",42146
"šis",42039
"iepriekš",41710
"bijis",41709
"viss",41394
"visi",41327
"viņas",41014
"Mēs",40676
"Ar",40186
"bērnu",40131
"darbības",40086
"tu",40055
"pašvaldības",40012
"atrodas",39809
"kultūras",39769
"nu",39743
"cik",39725
"īpaši",39616
"norāda",39498
"dienas",39344
"latviešu",39275
"esot",39240
"reizi",39128
"pats",39030
"jeb",38791
"kabineta",38550
"domes",38519
"daļa",38372
"10",37981
"Ir",37740
"notiek",37732
"vērā",37605
"divas",37593
"savukārt",36990
"komisijas",36942
"priekšlikums",36833
"nevis",36779
"latu",36646
"kuriem",36301
"sacīja",36243
"šim",36229
"attīstības",36216
"sporta",36194
"viņiem",36157
"Jau",36149
"visiem",36088
"šobrīd",36082
"sevi",35948
"grupas",35841
"mani",35643
"Saeimas",35530
"nevar",35347
"esmu",35216
"zemes",35086
"Līdz",34952
"20",34833
"dienu",34809
"uzskata",34531
"ES",34224
"vietas",33995
"atkal",33813
"iespēju",33665
